#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.RAG2" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Human-Carl.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Human-Carl" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Carlito_syrichta" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@RAG2" id="treeLikelihood.RAG2" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel id="SiteModel.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:JTT" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.RAG2	Tree.height	Tree.treeLength	mutationRate	CalibratedYuleModel	birthRateY	logP(mrca(Human-Carl))	mrca.age(Human-Carl)	clockRate
3000	-2290.8880546938835	-2264.905161725709	-25.982892968174436	-2264.905161725709	7.563938732324125	38.26370620310356	1.0	-19.00069229309914	0.8529770789771708	-0.22612463765219534	6.012909008627078	0.006022615384648542
3200	-2291.9257129822645	-2268.280833727246	-23.644879255018814	-2268.280833727246	5.318470218333305	30.34976753612805	1.0	-14.80909916473821	0.887511812297831	-2.0400200524471606	5.047574491153656	0.006022615384648542
3400	-2293.690586417164	-2268.4911110370035	-25.1994753801606	-2268.4911110370035	5.8390446028506915	28.27057827746247	1.0	-14.129690281688232	0.760243673190222	-4.428780372333364	4.550346762206797	0.006022615384648542
3600	-2290.388397265369	-2267.422341251487	-22.966056013881968	-2267.422341251487	6.608203722452019	31.257356118897434	1.0	-15.162917143275818	0.5527486740810442	-1.480758487426575	5.20786139635104	0.006022615384648542
3800	-2291.32090857248	-2265.9823334904027	-25.33857508207778	-2265.9823334904027	7.940993679569422	34.59767834192101	1.0	-17.272497670864247	0.7194530543958256	-1.48020605581622	5.208035763695262	0.006022615384648542
4000	-2289.203805432465	-2265.4751634165164	-23.72864201594849	-2265.4751634165164	6.473922497023698	32.87313338446096	1.0	-16.164122065620973	0.5030645742041041	-1.3362799473342895	5.254852835109211	0.006022615384648542
4200	-2289.7219374461865	-2265.3332297677885	-24.388707678398077	-2265.3332297677885	7.538908600501344	36.92008980421059	1.0	-18.152822283435295	0.3713411369755372	-0.3110709112201717	5.793505982440841	0.006022615384648542
4400	-2292.658361512901	-2270.22587444612	-22.432487066781142	-2270.22587444612	6.037690098850531	33.57819482025863	1.0	-15.541826124191623	0.6207937088731971	-0.45223319584093224	5.663516833113301	0.006022615384648542
4600	-2294.9299916880523	-2271.3676210749595	-23.5623706130929	-2271.3676210749595	5.873801248537329	33.89234385153926	1.0	-16.261557257211393	0.5727601076976155	-0.9428849769444645	5.401212214428293	0.006022615384648542
4800	-2294.3440014845482	-2270.36021023657	-23.983791247978502	-2270.36021023657	6.987054495457613	38.194260209635345	1.0	-17.2856543504274	0.5727601076976155	-0.3402085186140637	6.239183157819835	0.006022615384648542
5000	-2295.776177568326	-2267.0616130282656	-28.714564540060614	-2267.0616130282656	6.00880465511844	33.54501915658845	1.0	-17.780893770614135	0.6859522017009345	-4.395468559756024	4.556102980280225	0.006022615384648542
5200	-2293.4374390127864	-2266.5025417787215	-26.934897234064874	-2266.5025417787215	6.178965101033782	34.987422440804465	1.0	-17.87067249258137	0.6398718134475998	-2.595539155770605	4.9114808676174135	0.006022615384648542
5400	-2294.240911459973	-2267.8556913885823	-26.385220071390812	-2267.8556913885823	6.382494775412304	32.12523005144714	1.0	-16.51190009763945	0.536646815856855	-3.580489370615683	4.704874906047498	0.006022615384648542
5600	-2295.60505792957	-2265.9375605847235	-29.66749734484678	-2265.9375605847235	6.700503396647233	34.62512744738216	1.0	-18.737001763018373	0.7302999988368752	-4.3296642132435235	4.56754182249554	0.006022615384648542
5800	-2291.1725630145415	-2266.155239987812	-25.01732302672955	-2266.155239987812	6.11125663294848	33.873608135964695	1.0	-17.03308325843884	0.8357672362620427	-1.2485430854503141	5.284894506801414	0.006022615384648542
6000	-2292.7243189240517	-2267.391858399482	-25.332460524569687	-2267.391858399482	5.913111612532281	31.90950141400322	1.0	-16.111205420746778	0.5578411421786804	-2.889707989538509	4.8458950141140145	0.006022615384648542
6200	-2288.7321236824905	-2262.4013804422034	-26.330743240287198	-2262.4013804422034	8.27281509053994	38.57574932487348	1.0	-19.280147901029125	0.3719260352309403	-1.1242079867881576	5.329769952127096	0.006022615384648542
6400	-2288.7886001272054	-2261.6088989747536	-27.179701152451955	-2261.6088989747536	8.553780203459194	42.133697982871155	1.0	-20.334497211550392	0.690198266974654	-0.3008327048170556	6.19370254537864	0.004912743444947277
6600	-2287.853324099831	-2262.8920338759426	-24.96129022388802	-2262.8920338759426	7.4357890864230605	39.22905329945075	1.0	-18.838164662475542	0.3602943796071827	-0.22849165306217697	6.036744390166729	0.004912743444947277
6800	-2293.160287107337	-2265.888710870247	-27.271576237089906	-2265.888710870247	9.017565794680237	43.362229287995206	1.0	-20.357520610800343	0.6238432623098097	-0.47072941060011897	6.349955752885555	0.004912743444947277
7000	-2293.5510977046024	-2268.642125980522	-24.90897172408058	-2268.642125980522	6.728389240518721	38.8354201973728	1.0	-17.969139808323533	0.706565144150392	-0.3720312443187827	6.270407000347675	0.004912743444947277
7200	-2299.0453429226245	-2273.5067692579196	-25.538573664704984	-2273.5067692579196	8.2414313649792	39.89468653163479	1.0	-17.978728089533185	0.706565144150392	-0.9920449037335344	6.618972354426596	0.004912743444947277
7400	-2291.2055512590014	-2265.9719698867025	-25.233581372298996	-2265.9719698867025	7.618774450737348	37.319212169648374	1.0	-18.202087647516322	0.706565144150392	-0.4636930533444109	5.655107480003057	0.004912743444947277
7600	-2290.3171076293834	-2263.9735550775063	-26.343552551876996	-2263.9735550775063	9.047924708861967	41.39753854204663	1.0	-20.391818453411926	0.29748807470454014	-0.24851872841433947	5.8933994001667624	0.004912743444947277
7800	-2290.3052866769494	-2264.79861599346	-25.506670683489354	-2264.79861599346	8.342262216603636	40.79167702134149	1.0	-18.99624972825117	0.5303374490755398	-0.22941151401976645	6.042545043042868	0.004912743444947277
8000	-2293.4923888838516	-2265.7285348583923	-27.763854025459317	-2265.7285348583923	8.130890654315861	43.92801478350416	1.0	-22.053895289629885	0.23612801046724297	-0.237573789729852	5.923245726226077	0.004912743444947277
8200	-2295.3880763527286	-2267.1452195713628	-28.24285678136592	-2267.1452195713628	8.748711629405861	46.55685118932978	1.0	-21.847481640060366	0.4226883901702173	-0.34112472988691883	5.759861105563685	0.004912743444947277
8400	-2291.7318917424136	-2265.1890979269865	-26.54279381542717	-2265.1890979269865	8.052270408741435	43.704675332574794	1.0	-20.25413023025174	0.4226883901702173	-0.23441317375679505	6.065657524747997	0.004912743444947277
8600	-2296.1697535049275	-2268.3813622723646	-27.78839123256276	-2268.3813622723646	8.966579186506067	46.28591660276008	1.0	-21.926837056460347	0.2776987654894046	-0.2271269485060689	6.025841786522428	0.004912743444947277
8800	-2291.504073898765	-2263.90772879886	-27.59634509990531	-2263.90772879886	7.1209428285059415	40.606978412057565	1.0	-21.672415517869947	0.22767964513477004	-0.4879511492799209	5.637950420083662	0.004912743444947277
9000	-2290.0420613004094	-2262.614200782916	-27.427860517493322	-2262.614200782916	8.873316871793984	43.84497177819374	1.0	-20.868179222323757	0.47048409433796334	-0.39836330368455614	5.706255254481183	0.004912743444947277
9200	-2291.678872632517	-2264.0291726100213	-27.64970002249565	-2264.0291726100213	7.80830371602217	43.579582981427016	1.0	-21.600117541150034	0.26855613008974394	-0.4486079254841048	5.666221201362806	0.004912743444947277
9400	-2293.415732565537	-2265.3823514475107	-28.03338111802623	-2265.3823514475107	8.540489588506478	43.861565083081544	1.0	-21.23858764744365	0.516302777494677	-0.540591372731815	5.603263298844758	0.004912743444947277
9600	-2299.6541487358018	-2268.935490899853	-30.718657835948903	-2268.935490899853	9.377076999875122	47.150784954571286	1.0	-24.596522534206752	0.17479659045820903	-0.9502620535062717	5.398140090693214	0.004912743444947277
9800	-2302.107921743749	-2272.402251608992	-29.705670134756843	-2272.402251608992	9.63696750354403	51.343898791761475	1.0	-23.488032738485515	0.3398764308654714	-0.38130487207428954	5.721151009120024	0.0043317739783232286
