#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.mito_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="human_pan.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="human_pan" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Pan_troglodytes_troglodytes" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@mito_trimmed" id="treeLikelihood.mito_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@mito_trimmed" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.mito_trimmed	Tree.height	Tree.treeLength	kappa	CalibratedYuleModel	birthRateY	logP(mrca(human_pan))	mrca.age(human_pan)	clockRate	mutationRate	gammaShape
17000	-39149.251250774454	-39120.16941634186	-29.08183443259327	-39120.16941634186	27.910192821194126	70.44561657648885	22.226206434232072	-11.791915849005242	0.04664318291018584	-2.5240184166817117	4.928032868032563	0.008090771466487234	1.0	0.1
18000	-39145.527235089365	-39117.2814971879	-28.245737901466732	-39117.2814971879	38.331619909782596	96.98395803816449	21.564674570141097	-12.747820570429704	0.04266928652431273	-1.1117183321963404	6.665555023852879	0.005918681285136083	1.0	0.10315644531672052
19000	-39147.579282042156	-39119.879307094045	-27.69997494811219	-39119.879307094045	36.266603291191785	91.54799719193727	24.052027665160026	-12.622276777153784	0.04980916671604493	-0.36736520411099016	6.266058124726781	0.006321218609132541	1.0	0.10388877881048932
20000	-39145.56932220316	-39117.24949426068	-28.319827942485972	-39117.24949426068	34.35832002761156	88.19954779982281	22.344449927908016	-13.27933552919222	0.08544620825288089	-0.5214249533079296	6.384469505073681	0.006235898394580649	1.0	0.10085981270212067
21000	-39145.78527794838	-39117.91879411439	-27.866483833992085	-39117.91879411439	31.809621675316016	80.75267780084867	24.400344862282793	-12.679832493779664	0.024575226389849894	-0.367462107762364	5.733850835885554	0.00678868540984027	1.0	0.10696434765459817
22000	-39149.22581967187	-39119.61937517686	-29.606444495008564	-39119.61937517686	32.30052514602588	83.87064301050401	20.346222893063857	-14.644941292673687	0.13335532295349772	-0.6464360630341113	6.458609152977448	0.006284942200343678	1.0	0.10621141732271303
23000	-39145.71581019078	-39118.367065564045	-27.34874462673185	-39118.367065564045	31.5503692233551	80.44450195069157	21.449940771878392	-12.229312438754887	0.03826840486375915	-0.6092396153290011	5.562136857748752	0.006718078343064491	1.0	0.11298393046912882
24000	-39150.820811359845	-39119.68321042377	-31.13760093607236	-39119.68321042377	34.71252980399796	87.11186923517462	25.050833798426577	-15.922388703757703	0.14508595162472518	-0.33984439298396485	5.761197738349029	0.006749106401415962	1.0	0.10549970785591424
25000	-39148.010533379784	-39118.657359048	-29.353174331788015	-39118.657359048	30.417418812837376	75.84382397639595	24.465210665160733	-12.500478749098136	0.026440578047208584	-1.8960458295362028	5.086147036747302	0.0077822150377162376	1.0	0.1015907658711601
26000	-39150.48027109774	-39122.64213244442	-27.83813865331241	-39122.64213244442	31.54480349420217	80.8820253409277	25.29313276067266	-12.521994101167682	0.0736709259294411	-0.3986535837230486	5.706008307023548	0.006837966034061336	1.0	0.11121820625178533
27000	-39144.88640644434	-39116.95802339209	-27.92838305224438	-39116.95802339209	34.85121722048036	88.45171361374362	23.174770105216474	-13.08402257065042	0.07635666570952113	-0.2317041902798796	6.05437296035325	0.006214449920317485	1.0	0.1117873483283324
28000	-39142.52624343507	-39115.10094465153	-27.425298783538924	-39115.10094465153	31.791971495300682	81.03864501612689	22.376967131429755	-12.37927546448254	0.06589036223883349	-0.4511045021095033	5.664356476701266	0.006674407460118119	1.0	0.10540544472235866
29000	-39143.68195828305	-39116.56948732097	-27.11247096207765	-39116.56948732097	32.223909620938315	82.76177564281791	21.650569354882794	-12.367856350503898	0.06403568880991158	-0.2574050101232648	6.125725211231752	0.006422764296967594	1.0	0.11326402638406362
30000	-39143.88265290682	-39116.54850726209	-27.33414564472983	-39116.54850726209	33.41393365849998	85.10026286119641	23.397994107234272	-12.424591634484102	0.05824009318891762	-0.23665619720999623	6.073704967828732	0.006528594239015343	1.0	0.1
31000	-39149.99763030899	-39121.46790462913	-28.529725679862253	-39121.46790462913	36.370262068436915	92.47807525703541	25.174082585052396	-12.728866554055514	0.028968265456539438	-0.9780204585883745	6.6132817892060904	0.00636255795570048	1.0	0.1
32000	-39144.498862364926	-39116.64462612341	-27.854236241519082	-39116.64462612341	38.3719395514391	95.68357448506458	24.111170907927807	-12.783174746606896	0.03225920639657727	-0.35597675768628423	6.255132715504653	0.006293477616034114	1.0	0.10714961500555811
33000	-39147.940427614514	-39118.81120780561	-29.12921980891026	-39118.81120780561	37.346720430712665	93.32830004861393	24.246241782138217	-14.183455677701417	0.09365977545323963	-0.24033995697784039	5.914710480324037	0.006144403176057719	1.0	0.10803738500121018
