#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.new_core_region" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </prior>
#        <distribution id="cyn-ava.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="cyn-ava" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Cynocephalus_volans" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Avahi_laniger" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.1" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@new_core_region" id="treeLikelihood.new_core_region" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@new_core_region" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.new_core_region	Tree.height	Tree.treeLength	mutationRate	gammaShape	kappa	CalibratedYuleModel	birthRateY	logP(mrca(cyn-ava))	mrca.age(cyn-ava)	clockRate
3400	-348378.8724133519	-348268.38321369543	-110.48919965648005	-348268.38321369543	10.558498992200743	22.488008957585553	1.0	0.2922651245591445	9.024119144598599	-12.676070839016742	1.61874737074043	-71.60760278118119	0.02581338471351187	8.976020662714586
3600	-346939.3787086157	-346826.78693864367	-112.59176997205532	-346826.78693864367	11.26989741039328	23.77935646065909	1.0	0.2922651245591445	9.024119144598599	-14.768497509447931	1.61874737074043	-71.61774642632525	0.02538892170877249	8.976020662714586
3800	-346068.3798220367	-345955.3758613524	-113.00396068430574	-345955.3758613524	11.596890516150724	24.371448304899367	1.0	0.2922651245591445	9.024119144598599	-14.846329717712447	2.212030697221423	-71.63956556638466	0.024475997297813138	7.357529931140201
4000	-345278.69265486934	-345164.126876193	-114.5657786763912	-345164.126876193	11.174706396153372	23.54445895864558	1.0	0.2922651245591445	9.024119144598599	-16.162212955683632	2.9420730991989474	-71.59985197411368	0.026137739223102082	7.357529931140201
4200	-341898.7443767707	-341787.99074170255	-110.75363506813788	-341787.99074170255	11.039226528255202	23.282438509280826	1.0	0.2922651245591445	9.024119144598599	-12.636681266823224	2.346248079981075	-71.53990656081997	0.02864692016226362	7.357529931140201
4400	-339996.3846311929	-339885.5536894181	-110.8309417747578	-339885.5536894181	10.966122340892305	23.1070854852291	1.0	0.2922651245591445	9.024119144598599	-13.055841970426696	1.7129146350107247	-71.51299238227706	0.029773830513942383	7.357529931140201
4600	-337549.93018234917	-337440.5843911585	-109.34579119068746	-337440.5843911585	10.772719881733382	22.717576196419564	1.0	0.2922651245591445	9.024119144598599	-11.43546508976933	1.937914787938319	-71.52470093592157	0.029283561276886496	7.357529931140201
4800	-335255.4389865748	-335143.2371614185	-112.20182515634383	-335143.2371614185	11.510937718672961	24.192875224263464	1.0	0.2922651245591445	9.024119144598599	-14.29388747964676	1.937914787938319	-71.5223125117005	0.029383567877778814	7.357529931140201
5000	-334040.48830865306	-333922.95840959647	-117.52989905659447	-333922.95840959647	12.569793284560504	26.253248244511237	1.0	0.2922651245591445	9.024119144598599	-19.41866204144997	2.3088489697822396	-71.55027947710069	0.028212657651984684	7.357529931140201
5200	-330124.3101046642	-330012.32803318184	-111.9820714823517	-330012.32803318184	11.471816425775865	24.01993067128431	1.0	0.2922651245591445	9.024119144598599	-13.936332255311743	2.130077472443616	-71.56547063749724	0.02757673616259394	7.357529931140201
5400	-328698.47740216524	-328585.84459509427	-112.6328070709587	-328585.84459509427	11.644571123169282	24.291535349346614	1.0	0.2922651245591445	9.024119144598599	-14.53010512685358	2.130077472443616	-71.62243335456242	0.025192806377862437	7.357529931140201
5600	-327879.1161906776	-327772.4100055524	-106.70618512523444	-327772.4100055524	10.237170717014891	21.55436647046858	1.0	0.2922651245591445	9.024119144598599	-8.679415101807582	2.130077472443616	-71.54650143388415	0.0283708219096774	7.357529931140201
5800	-326824.0781732481	-326712.8288161639	-111.24935708421334	-326712.8288161639	11.311512127855258	23.71982808154969	1.0	0.2922651245591445	9.024119144598599	-13.277360134352062	2.130077472443616	-71.49172836031858	0.03066431637180215	7.357529931140201
6000	-326001.1326913135	-325888.1203352621	-113.0123560514339	-325888.1203352621	11.57590028363046	24.236331564329117	1.0	0.2922651245591445	9.024119144598599	-15.303378570835639	1.6491655158579979	-71.48482285315819	0.03095353090154558	7.357529931140201
6200	-325543.8242097686	-325404.82123161084	-139.00297815778683	-325404.82123161084	19.292308606782832	40.417096685984134	1.0	0.2922651245591445	9.024119144598599	-41.86879205441872	1.6491655158579979	-70.91003147592804	0.055076109684695604	4.296966133600937
6400	-324258.7457398744	-324125.9359683151	-132.80977155925984	-324125.9359683151	17.444308175181842	36.64425779214532	1.0	0.2922651245591445	9.024119144598599	-35.65172097202105	1.6491655158579979	-70.9338959597987	0.054072628800702335	4.296966133600937
6600	-323717.8219045064	-323583.82670573663	-133.99519876976288	-323583.82670573663	17.792982152745445	37.41282332751569	1.0	0.2922651245591445	9.024119144598599	-36.905078469254214	1.6491655158579979	-70.8659656730686	0.05692948382640009	4.296966133600937
6800	-323438.08817629854	-323306.1003627772	-131.9878135213421	-323306.1003627772	17.19198866665283	36.22949652812049	1.0	0.2922651245591445	9.024119144598599	-34.943948479048736	1.6491655158579979	-70.81971041485332	0.058875566771531426	4.296966133600937
7000	-322660.75381049333	-322528.7424977501	-132.0113127432617	-322528.7424977501	17.35938495656759	36.528021203284844	1.0	0.2922651245591445	9.024119144598599	-34.99661989782468	1.574672961352705	-70.83678829362947	0.05815698032232061	4.296966133600937
7200	-321380.50786519796	-321245.6068585615	-134.90100663643167	-321245.6068585615	18.773560496058675	39.36664767550168	1.0	0.2922651245591445	9.024119144598599	-38.176828348988494	1.1651103577971194	-70.84761386331928	0.057701517481869975	4.296966133600937
7400	-320777.2849535815	-320645.6690585767	-131.61589500483217	-320645.6690585767	17.355116614261572	36.528597847667	1.0	0.2922651245591445	9.024119144598599	-34.872947050873975	1.1651103577971194	-70.86638352983428	0.05691190637436634	4.296966133600937
7600	-319739.10884133866	-319601.9673935311	-137.14144780755493	-319601.9673935311	19.713184668663697	41.22423594343974	1.0	0.2922651245591445	9.024119144598599	-40.35088363097986	1.1651103577971194	-70.91399975245118	0.05490923535197603	4.296966133600937
7800	-316965.0534534889	-316824.68404622894	-140.3694072599625	-316824.68404622894	21.114239488877793	43.957864494782974	1.0	0.2922651245591445	9.024119144598599	-43.54136980956757	1.1651103577971194	-70.95147302627102	0.05333363666556945	4.296966133600937
8000	-316685.9575013011	-316550.3278189833	-135.6296823177597	-316550.3278189833	19.05331499963587	39.890813586448644	1.0	0.2922651245591445	9.024119144598599	-38.90612732715979	1.1275087320247348	-70.87980063612834	0.05634753356643521	4.296966133600937
8200	-315982.04097303405	-315850.5821019358	-131.45887109823155	-315850.5821019358	16.89448164599663	35.455708632805745	1.0	0.2922651245591445	9.024119144598599	-34.221412459371244	1.7321477461488293	-70.96417742361905	0.05279956319890265	4.296966133600937
8400	-315603.59075885155	-315473.54162012134	-130.04913873020507	-315473.54162012134	16.470605227397144	34.696316641239214	1.0	0.2922651245591445	9.024119144598599	-32.889113984960055	1.7321477461488293	-70.88674353000376	0.05605551096920862	4.296966133600937
8600	-315229.90331254236	-315101.1444823221	-128.75883022028017	-315101.1444823221	16.29672645449464	34.32396262632236	1.0	0.2922651245591445	9.024119144598599	-31.64710279369589	1.6062646522733597	-70.91394736234378	0.05491143843512437	4.296966133600937
8800	-314948.51668992185	-314821.4192845658	-127.09740535606144	-314821.4192845658	15.769863521647041	33.3006169259196	1.0	0.2922651245591445	9.024119144598599	-30.000362888616518	1.6062646522733597	-70.8992624032044	0.05552899533694125	4.296966133600937
